route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
868004,20163611multiint-0000001,48944405-20163611multiint-0000001,"Beauport (Est)",,0,,80040024,1
868004,20163611multiint-0000001,48944488-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040321,1
868014,20163611multiint-0000001,48944569-20163611multiint-0000001,"Charlesbourg (Est)",,0,,80140018,1
868004,20163611multiint-0000001,48944366-20163611multiint-0000001,"Beauport (Est)",,0,,80040024,1
868004,20163611multiint-0000001,48944448-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040321,1
868004,20163611multiint-0000001,48944376-20163611multiint-0000001,"Beauport (Est)",,0,,80040024,1
868004,20163611multiint-0000001,48944458-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040321,1
868014,20163611multiint-0000001,48944539-20163611multiint-0000001,"Charlesbourg (Est)",,0,,80140018,1
868014,20163611multiint-0000001,48944623-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140017,1
868074,20163611multiint-0000001,48943294-20163611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
868074,20163611multiint-0000001,48943374-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
868074,20163611multiint-0000001,48943301-20163611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
868074,20163611multiint-0000001,48943381-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
868024,20163611multiint-0000001,48944918-20163611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240038,1
868024,20163611multiint-0000001,48944923-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80240039,1
868024,20163611multiint-0000001,48944928-20163611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240038,1
868004,20163611multiint-0000001,48944443-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040321,1
